lat,lng,altura,velocidad
2.595,-77.551,3.720,230.778
1.870,-75.010,17.905,504.092
11.032,-72.036,17.961,703.605
9.066,-77.808,5.723,197.490
3.516,-75.816,17.559,622.403
3.015,-76.188,12.905,381.117
4.946,-75.537,17.573,105.059
9.999,-73.469,1.104,568.123
8.804,-75.587,5.268,82.045
8.917,-76.973,9.671,623.851
6.828,-77.819,5.713,295.974
8.991,-75.646,10.403,182.745
5.705,-75.099,18.292,253.862
9.846,-71.930,19.287,383.542
5.863,-75.252,3.825,107.055
7.779,-78.129,8.224,228.210
1.879,-78.598,3.414,251.601
11.390,-76.590,19.766,535.075
11.358,-76.943,16.867,501.336
2.210,-77.646,8.474,530.183
9.439,-72.162,16.153,408.075
9.825,-76.187,11.930,719.062
8.619,-78.266,19.587,41.482
9.556,-76.201,5.780,605.650
11.965,-75.289,1.011,66.697
8.667,-74.903,7.164,629.830
5.687,-75.803,3.217,515.417
8.742,-73.628,9.841,384.058
4.818,-78.838,0.032,169.951
11.088,-73.001,4.767,343.348
2.267,-71.867,4.033,222.818
10.612,-78.506,19.792,296.286
8.507,-72.513,8.965,355.321
5.894,-72.961,11.832,482.891
5.572,-74.004,6.646,690.999
11.235,-78.301,1.342,444.875
6.023,-76.447,11.154,390.023
9.885,-74.612,6.682,70.267
8.855,-73.049,18.219,633.800
1.954,-72.427,5.349,187.826
11.784,-72.266,15.984,141.950
9.550,-72.532,5.732,329.368
11.301,-72.339,16.190,74.201
10.374,-75.449,4.371,416.984
6.494,-78.965,4.412,736.446
7.039,-72.878,7.103,72.078
3.296,-72.456,4.778,388.222
3.627,-73.046,0.767,483.056
4.232,-75.074,14.895,146.079
8.348,-72.210,5.715,132.216
3.344,-78.487,15.169,198.871
5.016,-77.954,0.450,675.923
7.021,-76.450,7.560,259.389
3.063,-78.181,15.613,336.445
2.894,-74.544,10.668,34.347
2.703,-75.681,17.935,267.290
5.070,-72.755,12.338,68.258
1.706,-72.343,8.573,724.604
4.363,-74.574,8.481,124.734
11.064,-74.721,9.477,79.362
5.537,-74.774,6.871,711.814
8.750,-72.489,6.263,721.160
5.763,-75.918,18.093,592.855
12.181,-78.706,10.855,99.688
4.092,-77.498,12.692,211.306
3.393,-75.176,11.719,645.107
3.211,-74.686,17.280,310.819
2.188,-75.348,12.562,508.380
6.621,-77.014,16.219,645.785
8.729,-78.844,17.132,736.330
11.822,-76.154,4.478,681.287
5.621,-73.450,15.385,690.725
8.656,-77.575,2.362,616.058
4.587,-74.275,19.441,532.439
5.833,-74.701,14.818,410.926
5.165,-78.391,3.691,214.375
8.781,-74.831,11.142,555.212
3.845,-77.087,19.407,65.370
3.895,-78.972,16.743,270.316
5.206,-76.608,12.216,83.744
10.466,-77.111,15.070,323.225
8.125,-75.465,19.085,582.724
10.281,-77.349,0.052,502.510
4.169,-74.115,18.340,233.361
7.020,-75.692,2.453,687.382
2.833,-72.956,16.344,184.791
6.134,-74.076,6.872,367.896
11.880,-76.165,14.056,422.560
4.464,-78.800,8.401,378.538
8.741,-74.918,10.548,82.685
8.157,-72.911,0.396,435.311
4.756,-72.431,11.590,36.159
2.291,-78.479,17.318,80.886
11.467,-74.145,13.965,301.636
11.343,-74.395,0.844,665.446
5.217,-78.616,7.805,559.978
7.823,-74.412,6.012,155.707
7.975,-73.091,16.493,614.761
8.044,-76.528,8.705,82.388
6.673,-74.456,3.159,597.126
10.690,-72.884,14.110,540.149
7.347,-72.353,12.242,293.103
11.828,-76.461,10.929,459.233
11.857,-77.511,10.834,673.713
6.997,-76.262,5.015,66.074
4.515,-76.461,3.495,119.221
7.806,-77.877,3.380,694.669
7.358,-73.581,5.190,413.975
11.830,-71.884,10.421,673.708
8.739,-72.342,11.588,348.414
8.661,-78.368,5.625,494.418
8.917,-76.502,14.934,703.124
4.739,-75.664,13.131,268.627
9.981,-75.015,10.197,589.981
4.261,-75.907,8.273,236.825
2.872,-72.342,17.050,395.856
7.030,-74.552,3.396,251.762
9.253,-75.100,1.071,744.653
4.073,-72.442,16.788,659.402
4.851,-73.248,16.376,284.508
8.359,-78.113,10.997,504.737
4.360,-77.777,18.372,446.882
5.755,-71.919,4.359,80.961
1.780,-73.952,4.977,411.736
2.597,-71.860,2.430,61.690
9.505,-76.912,0.909,656.265
5.227,-73.057,16.810,596.317
8.465,-74.794,9.863,598.399
3.030,-77.980,7.316,44.224
2.480,-78.673,0.813,176.424
10.919,-74.669,14.123,712.869
9.848,-78.251,17.100,623.008
6.074,-73.757,9.367,47.523
11.194,-72.313,13.913,315.372
9.928,-78.394,8.390,264.710
4.296,-72.189,5.766,66.518
2.712,-77.405,9.131,370.128
4.448,-71.526,18.581,121.441
4.686,-76.731,8.641,736.046
11.767,-74.960,2.668,637.593
10.210,-74.539,3.849,742.474
10.160,-73.906,9.001,38.493
10.572,-76.280,6.856,493.190
2.474,-77.849,10.072,492.838
8.501,-73.183,3.396,313.568
8.789,-77.519,3.198,201.592
10.007,-76.138,16.272,66.026
9.054,-73.436,1.683,493.132
9.582,-71.892,17.685,625.783
4.790,-72.139,5.102,518.373
10.805,-72.728,9.070,631.010
10.388,-76.789,2.878,272.385
8.705,-76.860,12.979,616.944
3.385,-78.546,0.415,618.513
5.960,-76.949,4.470,37.854
4.033,-72.062,0.058,253.050
1.845,-74.346,15.507,347.076
2.174,-72.964,2.437,391.116
10.518,-73.031,2.451,563.395
8.428,-72.286,4.360,388.470
3.852,-75.645,10.387,333.242
5.406,-77.117,5.220,664.312
4.670,-74.100,2.445,188.822
2.003,-78.142,8.889,167.572
11.372,-76.306,0.365,568.352
6.726,-77.512,1.802,244.526
10.117,-74.087,13.294,428.002
6.634,-75.769,18.194,400.866
2.055,-71.715,12.143,607.134
8.038,-73.305,16.711,538.444
8.998,-78.856,3.502,155.753
7.850,-74.246,2.537,178.403
6.345,-77.058,7.824,116.455
8.169,-73.040,15.586,80.042
4.879,-72.672,4.317,353.590
9.088,-73.981,7.929,518.405
7.964,-77.265,10.145,111.963
4.736,-77.133,10.420,635.861
10.800,-74.317,14.093,704.850
12.288,-74.599,1.346,116.814
6.626,-73.599,1.449,349.772
7.091,-73.156,13.653,594.259
4.698,-75.305,18.816,438.913
7.774,-74.376,2.568,737.927
6.844,-72.598,3.007,328.185
6.612,-74.859,11.838,401.344
10.576,-75.559,13.362,97.147
2.224,-78.113,2.768,409.059
2.122,-75.055,2.399,493.466
2.672,-75.533,11.392,423.489
9.550,-76.491,15.358,521.454
11.579,-78.405,14.405,749.195
2.338,-72.276,17.580,153.980
11.997,-74.278,17.424,423.545
7.880,-73.464,6.538,128.210
2.636,-74.410,3.234,692.919
12.351,-77.002,7.000,36.121
7.188,-73.754,16.026,163.818
11.487,-75.760,10.937,144.996
7.343,-74.860,5.792,501.792
9.611,-77.722,2.052,117.756
9.134,-78.528,17.981,281.750
7.990,-72.928,0.232,405.712
11.266,-71.798,9.485,399.783
5.582,-78.649,3.136,453.849
4.997,-77.982,7.498,233.941
7.005,-74.602,4.958,231.873
10.971,-72.966,2.505,491.631
11.272,-71.790,0.196,420.294
10.889,-76.746,6.902,667.766
10.902,-75.235,18.278,309.934
5.863,-75.574,4.837,587.934
8.909,-78.455,17.901,520.814
1.714,-74.128,7.264,631.437
7.510,-75.238,0.205,25.307
4.815,-75.767,12.358,557.452
8.813,-74.569,7.582,408.023
5.599,-76.627,8.439,239.137
9.963,-75.874,3.294,224.874
10.801,-74.934,12.825,300.761
7.139,-72.946,11.853,108.710
2.360,-76.758,13.164,214.481
9.317,-77.076,13.915,103.942
9.016,-73.928,12.504,500.689
3.661,-78.739,3.309,645.560
7.817,-74.467,4.568,509.319
6.091,-74.865,5.887,134.687
8.564,-73.497,5.832,71.524
11.694,-76.261,6.483,251.567
9.073,-74.095,10.839,237.911
4.329,-78.064,0.452,379.708
6.307,-73.274,13.274,702.963
6.097,-75.920,19.008,48.947
4.991,-76.796,0.957,115.367
2.103,-72.396,17.709,269.958
4.638,-72.670,4.593,401.712
5.207,-76.351,19.240,307.738
6.537,-73.586,18.582,363.931
7.449,-73.736,4.238,599.728
2.883,-77.137,6.394,356.257
10.337,-76.684,11.851,726.334
6.711,-71.987,5.376,469.398
11.975,-78.553,17.556,252.330
3.539,-76.897,17.948,345.738
3.718,-73.058,0.827,597.563
11.619,-72.534,12.306,104.470
3.856,-78.951,19.110,305.860
5.005,-76.333,1.009,377.160
8.308,-77.959,9.581,397.766
4.242,-73.831,5.610,646.055
8.427,-75.728,15.936,209.023
4.719,-75.666,5.869,653.969
6.629,-75.947,16.753,612.271
4.502,-78.877,4.683,745.263
2.696,-71.761,9.119,326.714
2.290,-73.357,4.318,284.790
4.170,-76.785,18.799,212.423
6.627,-73.215,8.374,27.168
5.542,-75.959,3.629,161.886
9.509,-75.199,2.769,361.563
8.688,-75.465,19.423,61.348
11.965,-75.510,15.250,306.708
10.690,-78.649,10.290,189.253
11.641,-76.130,2.138,61.890
12.212,-77.408,12.003,266.338
10.574,-78.279,12.874,188.762
3.334,-74.432,15.710,106.097
10.926,-75.000,10.226,357.595
8.615,-73.444,3.961,689.735
7.576,-74.761,15.201,173.966
2.060,-76.236,1.631,166.981
5.577,-71.662,9.347,270.070
3.744,-72.654,10.798,216.588
8.541,-76.298,9.927,232.333
7.371,-78.832,17.408,209.493
5.728,-75.433,2.272,83.255
2.968,-76.107,0.602,433.032
7.302,-78.264,8.044,480.968
6.877,-75.779,18.665,87.941
3.024,-73.183,12.830,62.739
11.735,-75.413,15.550,386.436
4.631,-76.422,11.291,571.394
6.698,-75.643,8.054,436.641
4.662,-72.948,7.310,500.687
10.937,-71.679,16.601,284.690
8.889,-73.905,4.548,263.808
7.718,-77.726,8.378,498.930
10.809,-73.165,10.701,349.165
4.815,-77.296,11.562,157.360
6.658,-78.049,4.741,749.920
5.671,-74.858,19.869,695.785
8.538,-76.257,0.542,710.565
6.609,-71.564,3.681,268.052
2.144,-72.423,7.035,629.130
3.759,-78.511,18.462,574.854
2.244,-75.409,14.336,404.194
7.398,-74.494,8.783,583.174
7.791,-75.025,7.701,499.254
10.540,-72.296,1.781,149.925
9.525,-74.088,3.489,516.121
6.940,-72.471,17.020,181.754
2.371,-73.929,6.701,564.838
9.750,-74.251,11.327,384.417
11.912,-78.080,6.781,467.489
10.664,-75.054,9.784,296.102
11.109,-74.005,7.896,305.906
11.049,-73.982,9.009,379.160
2.441,-74.416,9.510,721.743
8.660,-77.361,7.958,379.199
6.872,-72.857,13.977,546.158
6.006,-74.181,17.444,355.164
3.552,-71.915,6.853,105.026
4.132,-72.588,3.716,60.884
3.689,-73.196,14.394,214.835
2.098,-78.947,16.832,607.072
10.064,-78.688,0.980,34.392
6.327,-77.393,14.658,516.662
9.644,-73.212,11.810,705.880
9.106,-75.270,11.879,86.494
2.005,-71.711,5.253,190.842
8.450,-72.414,2.161,186.564
7.020,-75.869,17.509,311.589
12.095,-73.064,5.025,320.416
7.423,-74.867,7.948,731.522
5.307,-75.404,17.442,665.628
7.690,-71.837,16.835,274.574
3.782,-73.337,10.730,688.262
8.593,-75.957,1.612,153.628
3.971,-74.639,16.639,485.538
10.416,-76.958,17.754,239.432
7.352,-75.559,0.627,271.881
10.550,-73.875,13.924,529.438
10.552,-73.982,12.908,222.730
7.833,-76.074,6.633,579.114
9.986,-74.953,10.276,300.908
8.529,-75.575,16.967,296.221
8.090,-76.005,2.183,619.652
7.336,-77.548,7.589,114.737
10.525,-73.699,4.920,401.430
12.055,-73.627,11.563,334.375
3.031,-76.821,7.368,203.148
9.337,-75.043,1.876,509.579
8.639,-71.581,8.891,201.701
7.868,-76.242,6.023,737.011
7.359,-75.657,15.016,719.305
3.174,-75.473,15.279,666.362
7.524,-77.017,15.796,59.153
3.978,-74.328,15.380,575.859
2.398,-76.948,6.461,338.392
6.889,-77.278,13.015,553.576
9.531,-74.429,18.587,134.269
3.080,-78.573,4.166,609.016
7.810,-72.542,15.174,473.898
8.468,-74.394,18.062,120.294
7.694,-74.944,17.365,104.436
5.214,-77.618,2.012,587.688
7.548,-78.747,4.906,714.568
10.116,-73.346,13.581,372.189
10.353,-74.923,19.996,560.120
3.136,-74.731,7.533,217.837
3.751,-72.582,15.498,590.124
2.392,-74.413,16.988,166.106
11.782,-78.705,7.781,104.739
6.886,-75.824,17.278,307.452
4.339,-75.546,17.301,108.668
11.606,-71.983,19.031,58.089
6.587,-72.834,2.720,206.001
4.660,-73.368,6.519,301.312
5.616,-71.554,3.966,679.989
6.271,-77.738,0.591,601.851
3.272,-77.347,18.920,275.803
9.614,-77.188,12.352,422.456
11.854,-72.654,19.681,140.984
8.902,-73.999,13.139,658.501
2.997,-74.055,11.335,134.693
9.122,-72.519,12.147,244.586
9.785,-77.740,18.634,461.910
10.135,-75.886,13.730,219.108
4.261,-75.880,17.524,148.598
2.504,-72.578,15.065,460.404
5.949,-73.691,9.253,544.564
11.643,-71.806,9.597,495.717
6.718,-76.015,12.731,171.720
10.631,-75.223,14.409,240.248
12.109,-77.663,13.068,39.440
3.239,-77.454,12.511,484.806
8.251,-75.660,6.637,75.673
9.899,-72.886,6.680,244.562
5.799,-74.775,8.789,293.206
6.338,-76.533,1.353,594.476
3.904,-78.172,3.431,259.642
8.156,-78.303,15.202,706.091
3.227,-75.176,6.002,350.481
1.751,-71.579,4.511,532.384
10.847,-73.478,15.710,87.235
2.176,-77.764,14.565,63.781
11.717,-77.510,6.983,71.999
4.231,-74.759,1.377,442.231
9.876,-73.966,19.588,45.924
5.981,-75.659,16.977,52.965
9.348,-76.054,7.651,34.525
6.763,-76.517,18.709,95.133
11.611,-77.868,9.112,405.679
2.743,-77.614,2.969,87.861
10.913,-73.189,11.133,386.804
3.687,-74.746,14.495,529.016
9.912,-73.760,4.051,638.337
11.111,-73.695,1.382,89.324
8.904,-72.244,5.459,323.180
7.003,-73.048,14.441,221.812
10.411,-75.779,12.628,657.294
9.313,-75.858,3.948,429.650
8.828,-73.092,7.523,102.734
4.982,-72.313,11.845,717.523
6.985,-76.508,19.926,346.056
3.394,-77.312,4.697,305.240
1.777,-73.408,0.754,558.965
11.706,-77.443,10.468,460.077
2.471,-72.890,4.549,659.336
8.024,-74.933,14.334,272.622
6.121,-73.016,15.486,428.764
2.379,-75.327,1.768,235.944
5.445,-74.639,5.060,456.709
1.776,-74.556,19.691,340.363
3.923,-72.884,6.237,20.082
5.476,-72.463,4.403,72.585
7.735,-78.849,4.065,398.206
6.540,-76.662,4.461,55.363
12.126,-74.121,2.578,480.183
5.482,-72.273,7.769,153.511
4.070,-78.002,14.878,737.570
10.707,-78.537,15.491,572.592
6.372,-78.139,8.373,642.879
4.690,-77.124,3.451,411.098
10.149,-77.861,9.104,30.311
4.851,-72.172,10.095,77.948
5.372,-72.532,14.473,649.393
11.567,-76.918,15.784,60.445
7.735,-77.260,18.512,239.345
8.265,-71.893,18.415,556.829
10.467,-77.493,14.571,408.693
4.061,-73.293,10.952,553.023
11.218,-78.328,7.879,727.039
4.246,-74.433,11.070,436.220
3.435,-73.370,6.850,403.944
2.328,-76.052,9.069,715.385
12.310,-72.876,11.692,698.914
5.013,-75.366,19.501,340.305
5.676,-72.816,7.236,389.417
9.595,-71.988,1.488,72.924
12.327,-78.835,4.646,298.595
5.087,-75.416,9.992,458.251
6.022,-76.768,13.437,562.761
8.450,-73.505,6.433,726.007
8.821,-78.280,7.404,644.516
8.089,-77.466,16.486,368.134
10.741,-75.586,7.982,583.393
5.376,-76.786,0.883,573.912
2.221,-73.373,17.935,119.638
11.065,-75.334,6.046,211.794
7.591,-74.966,13.914,37.308
8.459,-76.808,5.344,278.744
10.987,-75.181,7.683,332.008
10.298,-72.409,5.974,615.628
2.408,-77.273,10.258,126.798
3.728,-73.514,4.779,655.048
5.846,-73.449,13.241,730.418
11.619,-73.208,7.226,558.010
8.150,-77.493,6.972,367.672
3.932,-75.761,10.607,107.464
2.883,-77.321,7.249,350.013
9.338,-78.726,15.179,256.362
8.997,-77.382,6.321,567.552
6.380,-72.908,19.807,284.370
11.815,-76.503,8.565,75.399
9.629,-78.937,11.495,116.068
9.852,-71.731,13.825,682.899
9.707,-74.462,17.647,55.119
6.875,-74.392,2.743,622.505
9.008,-77.077,9.060,326.464
1.932,-77.489,14.266,197.749
8.838,-71.526,16.596,305.577
5.507,-74.742,8.652,520.281
1.783,-74.703,16.559,743.012
8.055,-78.197,9.852,20.210
6.524,-74.720,6.747,218.721
3.385,-72.464,12.643,648.656
6.626,-75.014,9.185,30.301
4.945,-73.728,19.188,107.326
2.424,-77.005,0.819,607.883
5.008,-77.445,1.124,95.452
5.566,-78.924,13.256,539.005
6.859,-78.742,11.094,468.526
9.485,-76.425,7.871,423.108
5.927,-75.292,14.250,43.949
3.599,-74.103,16.487,89.520
2.472,-76.301,1.959,260.942
3.719,-76.590,9.277,327.488
8.105,-75.985,10.474,535.866
10.252,-76.843,0.252,102.210
5.365,-74.717,5.166,428.227
5.214,-75.023,13.664,347.934
7.962,-73.902,9.885,307.086
1.894,-75.032,6.044,380.278
6.160,-71.701,18.384,748.260
4.880,-73.159,12.977,378.921
4.916,-74.635,1.480,369.574
2.901,-77.507,18.783,547.135
8.812,-77.295,13.714,305.391
8.388,-75.964,7.035,613.477
2.815,-72.482,18.683,670.206
3.597,-72.212,7.014,726.997
8.853,-78.259,7.842,555.010
4.234,-76.068,1.550,723.199
2.529,-77.728,16.474,52.485
4.582,-72.659,4.048,310.954
9.866,-71.627,3.617,587.217
6.798,-74.417,15.523,409.876
8.528,-73.003,5.706,212.940
4.713,-76.805,17.020,215.331
6.942,-76.350,15.833,710.830
9.966,-75.208,19.303,701.242
3.800,-72.390,13.258,188.803
1.719,-74.861,14.048,56.891
7.636,-77.420,17.190,649.424
3.503,-74.061,4.914,440.390
9.581,-73.314,9.601,303.951
9.466,-72.112,2.608,746.475
5.881,-75.418,9.626,146.926
10.698,-78.781,16.680,399.223
4.861,-78.801,2.032,215.994
10.272,-72.892,1.488,23.933
3.668,-74.331,6.284,572.850
10.154,-72.196,19.082,539.467
5.642,-77.125,1.742,188.328
10.044,-71.811,11.338,638.409
4.813,-72.855,6.357,381.399
12.094,-74.019,4.570,216.702
2.130,-76.421,0.390,622.935
6.665,-76.798,18.462,648.182
12.050,-74.812,14.611,349.194
8.422,-72.217,16.093,216.555
3.697,-73.583,13.856,221.842
7.534,-74.710,3.875,194.777
9.218,-77.369,6.599,325.989
7.027,-76.002,4.796,288.779
11.286,-74.898,6.475,735.882
7.773,-73.201,9.272,690.628
3.707,-73.089,5.905,54.260
11.072,-78.102,11.259,397.193
8.738,-75.232,5.436,438.883
8.225,-77.743,4.574,239.072
2.376,-78.153,17.370,208.792
4.640,-77.660,6.839,331.069
10.619,-74.911,12.094,616.084
6.087,-78.925,18.368,398.503
10.514,-77.637,18.679,257.553
9.135,-73.853,17.774,554.190
3.881,-76.196,8.686,457.412
5.927,-72.794,12.157,377.626
5.474,-76.945,15.223,160.206
3.481,-75.497,1.185,478.997
5.282,-74.970,6.282,336.144
6.737,-77.407,6.716,670.874
5.290,-73.824,18.383,472.205
10.405,-74.422,12.445,530.057
3.548,-73.669,5.834,559.160
6.690,-73.310,6.618,90.522
8.520,-76.725,13.778,22.040
9.530,-72.129,12.371,448.177
8.139,-73.113,16.438,215.129
8.120,-72.680,13.181,709.582
11.664,-78.668,4.845,553.842
5.510,-75.782,18.655,245.375
9.892,-77.163,5.043,240.087
5.223,-74.422,10.469,132.735
4.745,-76.038,15.206,236.340
2.635,-77.465,19.225,634.890
11.918,-75.574,1.591,610.353
5.185,-76.359,8.660,441.322
2.609,-75.644,5.660,460.123
6.082,-71.760,0.864,182.968
8.802,-78.278,14.471,685.105
9.006,-72.902,15.643,26.238
1.883,-76.244,15.844,683.460
11.380,-74.886,6.919,543.775
7.341,-77.609,12.955,338.109
3.198,-74.094,13.726,688.805
8.657,-75.174,9.034,584.196
5.294,-78.532,6.960,138.040
10.453,-73.868,10.318,112.785
4.545,-76.813,7.326,469.149
10.883,-73.670,17.361,595.042
9.192,-74.686,9.900,707.526
8.278,-73.549,10.961,245.951
4.673,-72.984,11.774,32.382
8.659,-75.244,16.516,566.687
11.322,-76.389,18.070,413.669
9.196,-77.797,11.367,22.270
8.833,-73.438,14.362,63.788
8.532,-76.242,11.229,29.987
11.106,-74.557,18.538,160.744
7.346,-74.451,7.504,577.247
2.432,-75.895,10.088,161.303
7.723,-72.488,13.062,518.746
9.867,-75.177,2.918,293.121
10.751,-77.909,5.873,137.524
10.365,-73.894,4.052,135.095
12.266,-75.017,5.498,213.051
9.025,-76.010,4.739,61.972
9.702,-71.957,13.933,292.312
9.384,-75.198,9.340,404.818
9.302,-72.054,15.207,351.936
12.115,-73.979,11.259,196.938
2.014,-76.033,11.071,136.017
6.525,-78.595,15.655,724.097
3.304,-72.615,18.618,561.593
4.018,-75.777,19.611,725.161
7.831,-73.194,16.138,139.089
10.530,-77.739,12.389,61.204
7.615,-75.222,6.250,36.973
5.146,-75.467,2.881,212.906
5.951,-72.522,6.282,258.643
10.265,-75.173,10.415,571.550
10.921,-76.674,3.697,625.733
5.030,-75.613,8.111,342.247
7.512,-71.725,15.368,404.499
3.179,-78.336,9.058,520.982
7.544,-76.684,7.932,601.100
8.397,-75.236,1.693,559.743
12.209,-75.196,7.339,163.773
12.086,-72.736,12.774,104.702
6.143,-77.852,10.130,596.668
3.943,-75.165,2.708,314.409
6.403,-77.794,14.016,656.682
9.214,-75.559,13.727,437.649
11.145,-75.012,3.620,721.054
2.059,-74.720,8.364,86.914
4.058,-74.758,0.736,627.192
7.967,-72.793,14.281,508.305
6.323,-78.626,15.663,658.035
3.101,-74.430,7.421,324.126
7.136,-77.665,19.442,540.631
10.504,-73.129,17.042,724.508
5.952,-75.947,9.730,308.298
3.515,-76.562,11.811,735.671
2.023,-75.102,10.788,597.751
4.561,-73.633,0.279,403.353
8.029,-72.441,6.572,189.745
7.198,-72.920,3.893,96.182
11.889,-74.730,14.224,727.929
3.595,-73.556,4.825,376.343
7.667,-77.706,15.703,106.781
2.167,-78.664,7.844,310.074
10.953,-77.319,2.567,248.264
6.264,-75.684,8.885,384.526
2.104,-78.899,16.205,406.500
8.566,-74.690,4.730,243.254
10.181,-77.515,17.912,602.513
3.013,-75.266,8.191,615.837
3.225,-72.695,19.460,691.351
10.916,-77.572,14.774,720.394
4.885,-77.003,0.155,632.901
3.599,-78.327,5.801,705.892
3.943,-74.437,6.334,590.547
2.155,-72.348,12.153,719.706
2.302,-73.969,3.030,209.635
9.558,-72.019,10.951,656.039
2.392,-72.053,12.917,245.619
9.371,-78.929,17.557,92.941
1.731,-72.827,17.464,288.061
9.298,-72.188,17.267,564.148
9.226,-75.036,18.329,613.728
5.331,-77.998,18.593,679.853
8.286,-72.876,5.346,360.942
8.751,-75.490,16.693,62.787
2.843,-78.824,8.025,349.419
1.901,-78.382,8.871,292.021
6.602,-72.785,18.525,101.158
2.133,-77.050,5.751,102.661
10.926,-75.172,14.659,191.484
11.815,-77.481,5.058,538.311
3.501,-73.651,6.558,365.110
5.589,-78.695,5.059,312.222
2.037,-73.406,16.633,709.638
11.612,-74.484,6.025,57.113
11.543,-73.724,19.174,227.724
10.702,-73.911,17.741,441.872
5.045,-74.087,11.049,248.842
3.450,-74.882,17.210,226.332
3.397,-76.777,14.083,434.422
5.065,-77.052,2.005,96.830
3.341,-75.783,19.637,327.635
9.021,-72.767,19.505,410.894
10.248,-71.565,13.567,457.629
11.474,-76.758,5.016,46.668
8.122,-78.159,0.060,747.470
7.208,-76.077,11.067,670.772
2.826,-74.712,8.974,495.761
6.897,-77.131,8.492,652.362
9.712,-72.037,4.626,104.568
5.216,-73.659,18.422,579.927
12.177,-77.533,7.594,603.886
10.780,-75.187,6.304,185.765
6.964,-77.016,17.281,125.615
9.569,-78.524,8.252,241.520
8.120,-74.039,14.833,385.954
7.668,-78.808,10.490,228.481
11.294,-78.104,16.709,441.895
2.754,-71.621,10.094,78.074
5.142,-76.765,11.909,326.612
9.220,-78.097,10.114,578.546
5.567,-77.627,0.408,385.055
11.288,-78.475,10.343,347.883
10.520,-76.405,3.091,147.737
2.891,-73.338,18.343,195.828
3.012,-77.840,12.823,194.185
6.440,-72.261,6.181,632.621
12.147,-78.201,9.332,325.749
5.651,-77.749,9.705,413.686
2.112,-78.228,13.802,149.019
2.610,-75.578,5.601,106.449
8.450,-76.453,19.007,362.918
7.702,-71.602,17.796,294.071
10.780,-77.250,15.165,476.494
8.548,-77.415,17.671,299.211
10.822,-76.668,18.387,546.276
3.173,-76.040,0.819,22.140
2.808,-74.375,1.219,119.200
4.964,-75.371,9.375,614.799
4.618,-76.191,5.607,267.520
4.320,-78.417,7.953,166.182
12.302,-74.286,19.561,50.758
9.023,-77.596,12.169,661.963
5.176,-75.837,10.000,252.035
